TASK_ID -- core -- memory -- disk -- time -- drop_out_rate -- num_residual_blocks
372 -- 1.005 -- 3204 -- 2437 -- 1431.725989 -- 0.9500000000000001 -- 12
374 -- 1.003 -- 3313 -- 2437 -- 1500.534989 -- 0.9500000000000001 -- 14
220 -- 1.003 -- 3440 -- 2437 -- 2191.060008 -- 0.6000000000000001 -- 20
281 -- 0.518 -- 3069 -- 2437 -- 1953.907504 -- 0.75 -- 1
202 -- 0.516 -- 3086 -- 2437 -- 2312.276581 -- 0.55 -- 2
154 -- 0.713 -- 3298 -- 2437 -- 2560.486011 -- 0.4 -- 14
85 -- 0.607 -- 3173 -- 2437 -- 2939.020255 -- 0.25 -- 5
193 -- 0.665 -- 3279 -- 2437 -- 2402.078303 -- 0.5 -- 13
358 -- 0.847 -- 2955 -- 2437 -- 1672.479962 -- 0.9 -- 18
16 -- 0.586 -- 3282 -- 2437 -- 3468.252608 -- 0.05 -- 16
111 -- 1.001 -- 3288 -- 2437 -- 2875.458007 -- 0.30000000000000004 -- 11
118 -- 0.704 -- 3347 -- 2437 -- 2833.784813 -- 0.30000000000000004 -- 18
365 -- 0.515 -- 3210 -- 2437 -- 1693.537592 -- 0.9500000000000001 -- 5
222 -- 0.517 -- 3071 -- 2437 -- 2319.539721 -- 0.6000000000000001 -- 2
150 -- 0.999 -- 3265 -- 2437 -- 2693.446607 -- 0.4 -- 10
319 -- 1.003 -- 3383 -- 2437 -- 1931.343024 -- 0.8 -- 19
170 -- 0.512 -- 3290 -- 2437 -- 2596.680955 -- 0.45 -- 10
336 -- 1.003 -- 3315 -- 2437 -- 1877.065184 -- 0.8500000000000001 -- 16
126 -- 0.6899999999999999 -- 3153 -- 2437 -- 2829.62251 -- 0.35000000000000003 -- 6
204 -- 0.628 -- 3125 -- 2437 -- 2459.379597 -- 0.55 -- 4
254 -- 0.732 -- 3277 -- 2437 -- 2234.50069 -- 0.65 -- 14
260 -- 0.6899999999999999 -- 3023 -- 2437 -- 2220.915165 -- 0.7000000000000001 -- 20
131 -- 0.513 -- 3189 -- 2437 -- 2827.616335 -- 0.35000000000000003 -- 11
87 -- 0.695 -- 3166 -- 2437 -- 3085.932159 -- 0.25 -- 7
248 -- 1.003 -- 3152 -- 2437 -- 2302.700407 -- 0.65 -- 8
92 -- 0.999 -- 3252 -- 2437 -- 3085.540903 -- 0.25 -- 12
346 -- 1 -- 3121 -- 2437 -- 1934.919459 -- 0.9 -- 6
275 -- 0.806 -- 3324 -- 2437 -- 2237.329322 -- 0.7000000000000001 -- 15
112 -- 1.002 -- 3252 -- 2437 -- 3063.433336 -- 0.30000000000000004 -- 12
145 -- 0.609 -- 3092 -- 2437 -- 2897.085908 -- 0.4 -- 5
105 -- 0.5659999999999999 -- 3202 -- 2437 -- 3128.977619 -- 0.30000000000000004 -- 5
